Percentage of ED visits by syndrome: COVID-19-Like Illness Shortness of Breath and Pneumonia
Date generated: Wed Jul 22 2020 02:09:19 GMT-0400 (Eastern Daylight Time)

Geography,Date,Syndrome,Percent
Florida,2020-07-02,CLI,8.4
Florida,2020-07-03,CLI,8.7
Florida,2020-07-04,CLI,8.8
Florida,2020-07-05,CLI,9
Florida,2020-07-06,CLI,9.3
Florida,2020-07-07,CLI,9.5
Florida,2020-07-08,CLI,8.8
Florida,2020-07-09,CLI,9.1
Florida,2020-07-10,CLI,8.8
Florida,2020-07-11,CLI,8.9
Florida,2020-07-12,CLI,8.7
Florida,2020-07-13,CLI,8.6
Florida,2020-07-14,CLI,7.4
Florida,2020-07-15,CLI,6.9
Florida,2020-07-16,CLI,6.9
Florida,2020-07-17,CLI,6.2
Florida,2020-07-18,CLI,5.7
Georgia,2020-05-23,CLI,1.6
Georgia,2020-05-24,CLI,1.5
Georgia,2020-05-25,CLI,1.8
Georgia,2020-05-26,CLI,1.9
Georgia,2020-05-27,CLI,1.6
Georgia,2020-05-28,CLI,1.6
Georgia,2020-05-29,CLI,1.3
Georgia,2020-05-30,CLI,1.6
Georgia,2020-05-31,CLI,1.4
Georgia,2020-06-01,CLI,1.5
Georgia,2020-06-02,CLI,1.5
Georgia,2020-06-03,CLI,1.5
Georgia,2020-06-04,CLI,1.4
Georgia,2020-06-05,CLI,1.6
Georgia,2020-06-06,CLI,1.5
Georgia,2020-06-07,CLI,1.5
Georgia,2020-06-08,CLI,1.5
Georgia,2020-06-09,CLI,1.6
Georgia,2020-06-10,CLI,1.7
Georgia,2020-06-11,CLI,1.3
Georgia,2020-06-12,CLI,1.4
Georgia,2020-06-13,CLI,1.6
Georgia,2020-06-14,CLI,1.7
Georgia,2020-06-15,CLI,2
Georgia,2020-06-16,CLI,1.8
Georgia,2020-06-17,CLI,2.2
Georgia,2020-06-18,CLI,2.1
Georgia,2020-06-19,CLI,2.4
Georgia,2020-06-20,CLI,2.1
Georgia,2020-06-21,CLI,2.4
Georgia,2020-06-22,CLI,2.4
Georgia,2020-06-23,CLI,2.5
Georgia,2020-06-24,CLI,2.6
Georgia,2020-06-25,CLI,3
Georgia,2020-06-26,CLI,2.9
Georgia,2020-06-27,CLI,3.2
Georgia,2020-06-28,CLI,4
Georgia,2020-06-29,CLI,4.1
Georgia,2020-06-30,CLI,4.8
Georgia,2020-07-01,CLI,4.7
Georgia,2020-07-02,CLI,4.8
Georgia,2020-07-03,CLI,5.5
Georgia,2020-07-04,CLI,5.4
Georgia,2020-07-05,CLI,6.1
Georgia,2020-07-06,CLI,5.9
Georgia,2020-07-07,CLI,6.1
Georgia,2020-07-08,CLI,6
Georgia,2020-07-09,CLI,5.8
Georgia,2020-07-10,CLI,5.5
Georgia,2020-07-11,CLI,6.1
Georgia,2020-07-12,CLI,6.2
Georgia,2020-07-13,CLI,6
Georgia,2020-07-14,CLI,5.2
Georgia,2020-07-15,CLI,5.2
Georgia,2020-07-16,CLI,5.6
Georgia,2020-07-17,CLI,5.4
Georgia,2020-07-18,CLI,4.9
Idaho,2020-05-23,CLI,1
Idaho,2020-05-24,CLI,1
Idaho,2020-05-25,CLI,1.5
Idaho,2020-05-26,CLI,0.9
Idaho,2020-05-27,CLI,1.3
Idaho,2020-05-28,CLI,1.4
Idaho,2020-05-29,CLI,1.5
Idaho,2020-05-30,CLI,1.6
Idaho,2020-05-31,CLI,1.4
Idaho,2020-06-01,CLI,1.1
Idaho,2020-06-02,CLI,1
Idaho,2020-06-03,CLI,1.4
Idaho,2020-06-04,CLI,0.8
Idaho,2020-06-05,CLI,1.6
Idaho,2020-06-06,CLI,1.7
Idaho,2020-06-07,CLI,1.3
Idaho,2020-06-08,CLI,0.8
Idaho,2020-06-09,CLI,1.3
Idaho,2020-06-10,CLI,1.5
Idaho,2020-06-11,CLI,1.4
Idaho,2020-06-12,CLI,0.8
Idaho,2020-06-13,CLI,1.4
Idaho,2020-06-14,CLI,1.4
Idaho,2020-06-15,CLI,1.7
Idaho,2020-06-16,CLI,1.6
Idaho,2020-06-17,CLI,2.2
Idaho,2020-06-18,CLI,1.6
Idaho,2020-06-19,CLI,2.1
Idaho,2020-06-20,CLI,2.4
Idaho,2020-06-21,CLI,2.1
Idaho,2020-06-22,CLI,2.1
Idaho,2020-06-23,CLI,2.7
Idaho,2020-06-24,CLI,2.9
Idaho,2020-06-25,CLI,3.1
Idaho,2020-06-26,CLI,3.1
Idaho,2020-06-27,CLI,3.3
Idaho,2020-06-28,CLI,3.8
Idaho,2020-06-29,CLI,3.6
Idaho,2020-06-30,CLI,3.5
Idaho,2020-07-01,CLI,4.9
Idaho,2020-07-02,CLI,3.7
Idaho,2020-07-03,CLI,4.3
Idaho,2020-07-04,CLI,3.5
Idaho,2020-07-05,CLI,3.3
Idaho,2020-07-06,CLI,4.5
Idaho,2020-07-07,CLI,5.8
Idaho,2020-07-08,CLI,5.2
Idaho,2020-07-09,CLI,4.8
Idaho,2020-07-10,CLI,4.1
Idaho,2020-07-11,CLI,4.6
Idaho,2020-07-12,CLI,3.5
Idaho,2020-07-13,CLI,4.3
Idaho,2020-07-14,CLI,4.9
Idaho,2020-07-15,CLI,5.1
Idaho,2020-07-16,CLI,5.7
Idaho,2020-07-17,CLI,4.2
Idaho,2020-07-18,CLI,3.4
Illinois,2020-05-23,CLI,5.2
Illinois,2020-05-24,CLI,5.5
Illinois,2020-05-25,CLI,4.9
Illinois,2020-05-26,CLI,5
Illinois,2020-05-27,CLI,4.5
Illinois,2020-05-28,CLI,4.1
Illinois,2020-05-29,CLI,4.2
Illinois,2020-05-30,CLI,3.5
Illinois,2020-05-31,CLI,3.3
Illinois,2020-06-01,CLI,3.9
